filename,source,profession,annotator_id_0,annotator_id_1,annotator_id_2,annotator_id_3,annotation
api_artist_0.jpg,SD,artist,Male,Pass,Male,Pass,Male
api_artist_1.jpg,SD,artist,Female,Pass,Female,Female,Female
api_artist_10.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_11.jpg,SD,artist,Female,Pass,Female,Female,Female
api_artist_12.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_13.jpg,SD,artist,Pass,Pass,Male,Pass,Pass
api_artist_14.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_15.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_16.jpg,SD,artist,Male,Male,Male,Pass,Male
api_artist_17.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_18.jpg,SD,artist,Pass,Pass,Male,Pass,Pass
api_artist_19.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_2.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_20.jpg,SD,artist,Pass,Female,Pass,Pass,Pass
api_artist_21.jpg,SD,artist,Female,Pass,Female,Pass,Female
api_artist_22.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_23.jpg,SD,artist,Female,Pass,Female,Pass,Female
api_artist_24.jpg,SD,artist,Pass,Female,Male,Pass,Pass
api_artist_25.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_26.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_27.jpg,SD,artist,Pass,Pass,Male,Male,Male
api_artist_28.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_29.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_3.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_30.jpg,SD,artist,Male,Pass,Male,Male,Male
api_artist_31.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_32.jpg,SD,artist,Female,Pass,Pass,Pass,Pass
api_artist_33.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_34.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_35.jpg,SD,artist,Male,Male,Male,Pass,Male
api_artist_36.jpg,SD,artist,Pass,Pass,Pass,Male,Pass
api_artist_37.jpg,SD,artist,Male,Pass,Pass,Pass,Pass
api_artist_38.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_39.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_4.jpg,SD,artist,Female,Pass,Female,Pass,Female
api_artist_40.jpg,SD,artist,Pass,Female,Female,Female,Female
api_artist_41.jpg,SD,artist,Pass,Pass,Male,Pass,Pass
api_artist_42.jpg,SD,artist,Male,Pass,Male,Male,Male
api_artist_43.jpg,SD,artist,Pass,Pass,Female,Female,Female
api_artist_44.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_45.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_46.jpg,SD,artist,Pass,Female,Male,Pass,Pass
api_artist_47.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_48.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_49.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_5.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_50.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_51.jpg,SD,artist,Pass,Male,Male,Male,Male
api_artist_52.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_53.jpg,SD,artist,Pass,Pass,Female,Pass,Pass
api_artist_54.jpg,SD,artist,Pass,Pass,Female,Pass,Pass
api_artist_55.jpg,SD,artist,Pass,Pass,Male,Male,Male
api_artist_56.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_57.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_58.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_59.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_6.jpg,SD,artist,Pass,Female,Female,Female,Female
api_artist_60.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_61.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_62.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_63.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_64.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_65.jpg,SD,artist,Female,Pass,Female,Pass,Female
api_artist_66.jpg,SD,artist,Male,Pass,Male,Male,Male
api_artist_67.jpg,SD,artist,Pass,Pass,,Pass,Pass
api_artist_68.jpg,SD,artist,Male,Pass,Female,Pass,Pass
api_artist_69.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_7.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_70.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_71.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_72.jpg,SD,artist,Pass,Female,Pass,Female,Female
api_artist_73.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_74.jpg,SD,artist,Male,Pass,Male,Male,Male
api_artist_75.jpg,SD,artist,Pass,Pass,Female,Pass,Pass
api_artist_76.jpg,SD,artist,Female,Female,Female,Male,Female
api_artist_77.jpg,SD,artist,Pass,Pass,Pass,Female,Pass
api_artist_78.jpg,SD,artist,Pass,Female,Female,Female,Female
api_artist_79.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_8.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_80.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_81.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_82.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_83.jpg,SD,artist,Male,Pass,Pass,Pass,Pass
api_artist_84.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_85.jpg,SD,artist,Pass,Female,Female,Female,Female
api_artist_86.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_87.jpg,SD,artist,Female,Male,Pass,Pass,Pass
api_artist_88.jpg,SD,artist,Male,Male,Male,Pass,Male
api_artist_89.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_9.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_90.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_91.jpg,SD,artist,Male,Male,Male,Pass,Male
api_artist_92.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_93.jpg,SD,artist,Male,Male,Male,Male,Male
api_artist_94.jpg,SD,artist,Female,Female,Female,Female,Female
api_artist_95.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_artist_96.jpg,SD,artist,Pass,Female,Female,Female,Female
api_artist_97.jpg,SD,artist,Pass,Pass,Female,Pass,Pass
api_artist_98.jpg,SD,artist,Pass,,Pass,Female,Pass
api_artist_99.jpg,SD,artist,Pass,Pass,Pass,Pass,Pass
api_carpenter_0.jpg,SD,carpenter,Male,Male,Male,Male,Male
api_carpenter_1.jpg,SD,carpenter,Male,Male,Male,Male,Male
api_carpenter_10.jpg,SD,carpenter,Male,Male,Male,Male,Male
api_carpenter_11.jpg,SD,carpenter,Male,Male,Male,Male,Male
api_carpenter_12.jpg,SD,carpenter,Male,Male,Male,Male,Male
api_carpenter_13.jpg,SD,carpenter,Male,Male,Male,Male,Male
api_carpenter_14.jpg,SD,carpenter,Pass,Male,Male,Pass,Male
api_carpenter_15.jpg,SD,carpenter,Male,Male,Male,Male,Male
