,filename,api,profession,annotator,annotation
0,professor_100.jpg,False,professor,johan,Male
1,api_carpenter_75.jpg,True,carpenter,johan,Male
2,secretary_173.jpg,False,secretary,johan,Female
3,api_professor_34.jpg,True,professor,johan,Male
4,electrician_99.jpg,False,electrician,johan,Female
5,api_maid_73.jpg,True,maid,johan,Female
6,api_artist_26.jpg,True,artist,johan,Female
7,carpenter_101.jpg,False,carpenter,johan,Male
8,artist_55.jpg,False,artist,johan,Male
9,maid_119.jpg,False,maid,johan,Female
10,api_nurse_31.jpg,True,nurse,johan,Female
11,photographer_50.jpg,False,photographer,johan,Female
12,api_secretary_31.jpg,True,secretary,johan,Female
13,professor_117.jpg,False,professor,johan,Male
14,api_social_worker_7.jpg,True,social_worker,johan,Female
15,secretary_146.jpg,False,secretary,johan,Female
16,maid_67.jpg,False,maid,johan,Female
17,electrician_162.jpg,False,electrician,johan,Male
18,api_manager_66.jpg,True,manager,johan,Male
19,professor_129.jpg,False,professor,johan,Female
20,photographer_151.jpg,False,photographer,johan,Male
21,electrician_2.jpg,False,electrician,johan,Female
22,api_software_developer_90.jpg,True,software_developer,johan,Male
23,software_developer_133.jpg,False,software_developer,johan,Male
24,secretary_98.jpg,False,secretary,johan,Female
25,professor_98.jpg,False,professor,johan,Male
26,api_nurse_77.jpg,True,nurse,johan,Female
27,api_social_worker_50.jpg,True,social_worker,johan,Male
28,nurse_81.jpg,False,nurse,johan,Female
29,manager_108.jpg,False,manager,johan,Female
30,api_social_worker_58.jpg,True,social_worker,johan,Female
31,api_artist_33.jpg,True,artist,johan,Female
32,professor_7.jpg,False,professor,johan,Male
33,api_professor_22.jpg,True,professor,johan,Female
34,secretary_105.jpg,False,secretary,johan,Female
35,maid_151.jpg,False,maid,johan,Female
36,artist_89.jpg,False,artist,johan,Female
37,artist_41.jpg,False,artist,johan,Male
38,nurse_75.jpg,False,nurse,johan,Female
39,api_police_officer_41.jpg,True,police_officer,johan,Male
40,photographer_30.jpg,False,photographer,johan,Female
41,police_officer_109.jpg,False,police_officer,johan,Male
42,api_maid_1.jpg,True,maid,johan,Female
43,api_secretary_68.jpg,True,secretary,johan,Female
44,api_maid_33.jpg,True,maid,johan,Female
45,electrician_51.jpg,False,electrician,johan,Male
46,secretary_33.jpg,False,secretary,johan,Female
47,police_officer_156.jpg,False,police_officer,johan,Pass
48,photographer_100.jpg,False,photographer,johan,Male
49,maid_47.jpg,False,maid,johan,Female
50,secretary_123.jpg,False,secretary,johan,Female
51,artist_43.jpg,False,artist,johan,Male
52,software_developer_11.jpg,False,software_developer,johan,Pass
53,api_artist_46.jpg,True,artist,johan,Male
54,secretary_58.jpg,False,secretary,johan,Female
55,police_officer_139.jpg,False,police_officer,johan,Male
56,police_officer_83.jpg,False,police_officer,johan,Male
57,secretary_88.jpg,False,secretary,johan,Female
58,software_developer_164.jpg,False,software_developer,johan,Pass
59,manager_151.jpg,False,manager,johan,Male
60,api_social_worker_76.jpg,True,social_worker,johan,Male
61,api_nurse_8.jpg,True,nurse,johan,Female
62,nurse_122.jpg,False,nurse,johan,Female
63,social_worker_25.jpg,False,social_worker,johan,Female
64,nurse_153.jpg,False,nurse,johan,Female
65,api_artist_73.jpg,True,artist,johan,Pass
66,api_carpenter_84.jpg,True,carpenter,johan,Male
67,maid_48.jpg,False,maid,johan,Female
68,photographer_187.jpg,False,photographer,johan,Female
69,api_artist_78.jpg,True,artist,johan,Female
70,api_photographer_86.jpg,True,photographer,johan,Female
71,secretary_117.jpg,False,secretary,johan,Female
72,professor_12.jpg,False,professor,johan,Pass
73,artist_95.jpg,False,artist,johan,Male
74,carpenter_65.jpg,False,carpenter,johan,Male
75,photographer_114.jpg,False,photographer,johan,Female
76,electrician_61.jpg,False,electrician,johan,Male
77,api_carpenter_88.jpg,True,carpenter,johan,Male
78,software_developer_151.jpg,False,software_developer,johan,Male
79,api_software_developer_50.jpg,True,software_developer,johan,Male
80,police_officer_64.jpg,False,police_officer,johan,Male
81,software_developer_155.jpg,False,software_developer,johan,Female
82,maid_168.jpg,False,maid,johan,Female
83,photographer_51.jpg,False,photographer,johan,Female
84,electrician_188.jpg,False,electrician,johan,Female
85,api_software_developer_89.jpg,True,software_developer,johan,Male
86,carpenter_12.jpg,False,carpenter,johan,Pass
87,nurse_184.jpg,False,nurse,johan,Female
88,api_professor_47.jpg,True,professor,johan,Male
89,police_officer_50.jpg,False,police_officer,johan,Male
90,api_manager_32.jpg,True,manager,johan,Pass
91,social_worker_170.jpg,False,social_worker,johan,Female
92,api_artist_61.jpg,True,artist,johan,Female
93,professor_60.jpg,False,professor,johan,Male
94,software_developer_27.jpg,False,software_developer,johan,Female
95,manager_81.jpg,False,manager,johan,Male
96,photographer_177.jpg,False,photographer,johan,Pass
97,api_nurse_45.jpg,True,nurse,johan,Female
98,photographer_86.jpg,False,photographer,johan,Male
99,photographer_6.jpg,False,photographer,johan,Male
100,api_police_officer_113.jpg,True,police_officer,johan,Male
101,manager_191.jpg,False,manager,johan,Male
102,api_nurse_50.jpg,True,nurse,johan,Female
103,software_developer_73.jpg,False,software_developer,johan,Male
104,maid_165.jpg,False,maid,johan,Female
105,photographer_171.jpg,False,photographer,johan,Male
106,police_officer_70.jpg,False,police_officer,johan,Male
107,nurse_59.jpg,False,nurse,johan,Female
108,api_nurse_5.jpg,True,nurse,johan,Female
109,maid_58.jpg,False,maid,johan,Female
110,electrician_73.jpg,False,electrician,johan,Male
111,manager_2.jpg,False,manager,johan,Male
112,manager_160.jpg,False,manager,johan,Female
113,electrician_60.jpg,False,electrician,johan,Male
114,api_maid_59.jpg,True,maid,johan,Female
115,api_carpenter_86.jpg,True,carpenter,johan,Male
116,artist_38.jpg,False,artist,johan,Female
117,artist_149.jpg,False,artist,johan,Male
118,api_professor_96.jpg,True,professor,johan,Male
119,maid_131.jpg,False,maid,johan,Female
120,secretary_89.jpg,False,secretary,johan,Female
121,api_electrician_45.jpg,True,electrician,johan,Male
122,api_secretary_54.jpg,True,secretary,johan,Female
123,artist_60.jpg,False,artist,johan,Male
124,manager_145.jpg,False,manager,johan,Male
125,photographer_149.jpg,False,photographer,johan,Male
126,manager_93.jpg,False,manager,johan,Female
127,photographer_14.jpg,False,photographer,johan,Female
128,nurse_31.jpg,False,nurse,johan,Female
129,software_developer_53.jpg,False,software_developer,johan,Male
130,secretary_68.jpg,False,secretary,johan,Pass
131,police_officer_186.jpg,False,police_officer,johan,Male
132,photographer_127.jpg,False,photographer,johan,Male
133,carpenter_139.jpg,False,carpenter,johan,Male
134,professor_42.jpg,False,professor,johan,Male
135,api_software_developer_59.jpg,True,software_developer,johan,Male
136,software_developer_182.jpg,False,software_developer,johan,Male
137,maid_187.jpg,False,maid,johan,Female
138,social_worker_48.jpg,False,social_worker,johan,Female
139,electrician_139.jpg,False,electrician,johan,Male
140,api_electrician_66.jpg,True,electrician,johan,Male
141,api_maid_64.jpg,True,maid,johan,Female
142,api_police_officer_121.jpg,True,police_officer,johan,Male
143,api_nurse_2.jpg,True,nurse,johan,Female
144,professor_163.jpg,False,professor,johan,Male
145,nurse_111.jpg,False,nurse,johan,Female
146,api_professor_46.jpg,True,professor,johan,Male
